what are bigos?	["Stew"]	["Polish food"]
what movies did joan crawford play in?	["Children\u2019s Hospital Los Angeles"]	["Autumn Leaves", "Dance, Fools, Dance", "The Best of Everything", "It's a Great Feeling", "Strange Cargo", "Reunion in France", "Mildred Pierce", "The Unknown", "What Ever Happened to Baby Jane?", "Susan and God", "The Women", "No More Ladies", "Torch Song", "Tide of Empire", "Trog", "Flamingo Road", "Strait-Jacket", "Goodbye, My Fancy", "Our Blushing Brides", "Paris", "The Damned Don't Cry!", "Daisy Kenyon", "Johnny Guitar", "Queen Bee", "Female on the Beach", "Possessed", "Sudden Fear", "Possessed", "Sally, Irene and Mary", "This Woman Is Dangerous", "Pretty Ladies", "Old Clothes", "Tramp, Tramp, Tramp", "The Taxi Dancer", "Four Walls", "Dream of Love", "Our Modern Maidens", "Paid", "This Modern Age", "Letty Lynton", "Today We Live", "Chained", "The Shining Hour", "Mannequin", "When Ladies Meet", "The Story of Esther Costello", "A Slave of Fashion", "The Merry Widow", "The Last of Mrs. Cheyney", "The Gorgeous Hussy", "Hush\u2026 Hush, Sweet Charlotte", "The Karate Killers", "Our Dancing Daughters", "Rose-Marie", "The Circle", "Untamed", "I Saw What You Did", "Berserk!", "Grand Hotel", "Love on the Run", "Harry Langdon: The Forgotten Clown", "Spring Fever", "West Point", "Sadie McKee", "Forsaking All Others", "The Hollywood Revue of 1929", "Winners of the Wilderness", "The Law of the Range", "Montana Moon", "Laughing Sinners", "Humoresque", "The Bride Wore Red", "They All Kissed the Bride", "Rain", "The Ice Follies of 1939", "Dancing Lady", "I Live My Life", "The Stolen Jools", "Harriet Craig", "The Understanding Heart", "The Duke Steps Out", "A Woman's Face", "Above Suspicion", "Across to Singapore", "Twelve Miles Out", "The Caretakers", "The Boob", "Great Day"]
who played denver in four christmases?	["William E. Adams", "James Buck", "George V. Kelley", "Maximo Yabes", "Debbie", "Barbara Katie Chapman", "Zebediah Duane Chapman"]	["Colorado Rockies", "Denver Broncos", "Denver Nuggets", "Colorado Rapids", "Denver Spurs", "Colorado Avalanche"]
what the language spoken in indonesia?	["Javanese Language", "Malay Language", "Sunda Language", "English Language", "Bali Language", "Indonesian Language", "Batak Language", "Tobelo Language", "Dutch Language", "Madura Language"]	["Dutch Language", "English Language", "Malay Language", "Indonesian Language", "Sunda Language", "Javanese Language", "Tobelo Language", "Madura Language", "Bali Language", "Batak Language"]
which countries speak arabic language?	["Bahrain", "Saudi Arabia", "Libya", "Algeria", "Egypt", "Kuwait", "Lebanon", "Israel", "Jordan", "Iraq"]	["Saudi Arabia", "Eritrea", "Tunisia", "Comoros"]
who did jackie robinson first play for?	["Montreal Royals", "Kansas City Monarchs", "Los Angeles Bulldogs", "Brooklyn Dodgers", "UCLA Bruins football"]	["Brooklyn Dodgers", "UCLA Bruins football", "Kansas City Monarchs", "Los Angeles Bulldogs", "Montreal Royals"]
where did the gallipoli war take place?	["Gallipoli"]	[]
what is the zip code for morgantown wv?	["26508", "26501", "26502", "26504", "26505", "26506", "26507"]	["26508", "26507", "26506", "26504", "26502", "26505", "26501"]
where did francisco coronado come from?	["Salamanca"]	["Salamanca"]
what movies has carmen electra been in?	["The Mating Habits of the Earthbound Human", "Scary Movie", "Getting Played", "Cheaper by the Dozen 2", "Meet the Spartans", "I Want Candy", "Full of It", "The Chosen One: Legend of the Raven", "Scary Movie 4", "Dirty Love"]	["Epic Movie", "Disaster Movie", "Starsky & Hutch", "Meet the Spartans", "Scary Movie 4", "Dirty Love", "Date Movie"]
what style of art did henri matisse do?	["Impressionism"]	["Impressionism", "Neo-impressionism", "Fauvism", "Modernism"]
who does amy stiller play in dodgeball?	["Keno Waitress"]	["Kristen", "Parole Board Member Julie", "Cleopatra", "Jolene Lane", "Doctor", "Doctor", "Hansel's Posse Member", "Sylvia Abramson", "Middle-Aged Woman", "Amy Corinne Fairbright-Lebow", "Checkout Girl", "Director", "Pam Bailey", "Keno Waitress", "Steven's Secretary", "Estelle", "Marcy", "Flower Girl/Carol", "Kristen", "Phyllis", "Vegas Divorcee", "Psychic Phone Partner", "Dr. Rosaria Mclesh", "Theater Girl", "Script supervisor", "Cherri Contrary"]
what language is spoken in switzerland?	["Romansh language", "French Language", "German Language", "Italian Language"]	["Italian Language", "German Language", "French Language", "Romansh language"]
where did william morris go to college?	["Marlborough College", "Exeter College, Oxford", "University of Oxford"]	["Marlborough College", "University of Oxford", "Exeter College, Oxford"]
what was james garfield most known for?	["United States Representative", "President of the United States"]	["Lawyer", "Politician", "Teacher"]
what did mary wollstonecraft fight for?	["Women's rights"]	["Women's rights"]
what do you call members of the senate?	["Senator"]	["Australian Senator", "President of the Australian Senate"]
who is the leader of north korea today?	["Kim Jong-un"]	["Family dictatorship", "Single-party state", "Juche", "Totalitarianism"]
what countries don need a visa for usa?	["us"]	["United States dollar"]
where do the appalachian mountains run?	["Eastern United States"]	["North America"]
where are english speakers distributed?	["Canada", "Australia", "Kingdom of Great Britain", "United States of America", "United Kingdom", "Ireland", "New Zealand"]	["England", "Japan", "Hong Kong", "India", "Philippines", "Scotland", "United Kingdom", "Australia", "China", "Canada", "South Africa", "Wales", "Fiji", "Singapore", "Uganda", "Zimbabwe", "Bangladesh", "Barbados", "Ethiopia", "Kenya", "Cameroon", "Gibraltar", "Ireland", "Israel", "Malta", "Marshall Islands", "Nigeria", "Papua New Guinea", "Pakistan", "Sri Lanka", "Samoa", "Sierra Leone", "Sudan", "Tanzania", "Malaysia", "New Zealand", "Indonesia", "Bahamas", "Botswana", "Cyprus", "Honduras", "Isle of Man", "Laos", "Liberia", "Puerto Rico", "Mandatory Palestine", "Antigua and Barbuda", "Guam", "Brunei", "Timor-Leste", "Namibia", "Lesotho", "Guyana", "Ghana", "Grenada", "Jordan", "Saint Kitts and Nevis", "Swaziland", "Vatican City", "Vanuatu", "Bermuda", "Belize", "Cayman Islands", "Qatar", "Saint Lucia", "Cura\u00e7ao", "Palestinian National Authority", "Cook Islands", "Nauru", "Gambia", "Turks and Caicos Islands", "Tokelau", "Kiribati", "Montserrat", "Zambia", "Jersey", "Dominica", "Tuvalu", "Rwanda", "Transkei", "South Yemen", "Bonaire", "Saint Vincent and the Grenadines", "Territory of New Guinea", "Gazankulu", "Territory of Papua and New Guinea"]
what country was king tut's tomb found?	["Ancient Egypt"]	["Egypt"]
what did general robert e lee die from?	["Pneumonia"]	["Pneumonia"]
what is the state flower of new mexico?	["Yucca flower"]	["Greater Roadrunner", "Pinyon pine", "Sandia Hairstreak", "Cutthroat trout", "Crescit eundo", "New Mexico spadefoot toad", "New Mexico whiptail", "Yucca flower"]
who won the governor election in texas?	["Rick Perry"]	["George Bush", "W. Lee O'Daniel", "John Connally", "Peter Hansborough Bell", "Lawrence Sullivan Ross", "Ross S. Sterling", "Richard Coke", "Sam Houston", "Elisha M. Pease", "Dolph Briscoe", "Andrew Jackson Hamilton", "Preston Smith", "James Pinckney Henderson", "Miriam A. Ferguson", "Ann Richards", "Beauford H. Jester", "Richard B. Hubbard", "James Allred", "Fletcher Stockdale", "Pendleton Murrah", "Edward Clark", "Mark White", "Bill Clements", "Hardin Richard Runnels", "Charles Allen Culberson", "Coke R. Stevenson", "James E. Ferguson", "James W. Throckmorton", "Edmund J. Davis", "J. W. Henderson", "John Ireland", "S. W. T. Lanham", "Oscar Branch Colquitt", "William P. Hobby", "Rick Perry", "Francis Lubbock", "Oran M. Roberts", "Pat Morris Neff", "Dan Moody", "Allan Shivers", "Jim Hogg", "Thomas Mitchell Campbell", "George Tyler Wood", "Price Daniel", "Joseph D. Sayers"]
what type of music did mozart composed?	["Opera", "Classical music", "Ballet", "Art song", "Chamber music"]	["Classical music", "Chamber music", "Opera", "Art song", "Ballet"]
who played amy squirrel in bad teacher?	["Lucy Punch"]	["Lucy Punch"]
where did the battle of waterloo occur?	["Waterloo"]	["Waterloo"]
where is the seat of the african union?	["Addis Ababa"]	["Addis Ababa"]
what is monta ellis career high points?	["NBA Most Improved Player Award"]	["2005"]
what do we call the currency of france?	["French franc"]	["Euro", "CFP franc"]
where did john steinbeck go to college?	["Stanford University"]	["Stanford University", "Salinas High School"]
what type of music did vivaldi compose?	["Baroque music"]	["Classical music", "Baroque music"]
where did queensland get its name from?	["Queen Victoria"]	["Queen Victoria"]
what highschool did emily osment go to?	["Flintridge Preparatory School"]	["Flintridge Preparatory School"]
what language is spoken in haiti today?	["French Language", "Haitian Creole French Language"]	["French Language", "Haitian Creole French Language"]
what was sir isaac newton's inventions?	["Reflecting telescope"]	["Reflecting telescope", "Pet door"]
where does name pennsylvania come from?	["William Penn"]	["William Penn"]
what is there to do in peoria illinois?	["Peoria Zoo", "Judge Flanagan Residence", "George L. Luthy Memorial Botanical Garden", "Lakeview Museum of Arts and Sciences", "WeaverRidge Golf Club", "Heart of Illinois Fair", "Wildlife Prairie State Park", "Par-A-Dice Hotel and Casino", "Peoria Civic Center", "O'Brien Field"]	["Peoria Civic Center", "John C. Flanagan House Museum", "Heart of Illinois Fair", "Lakeview Museum of Arts and Sciences", "O'Brien Field", "Wildlife Prairie State Park", "George L. Luthy Memorial Botanical Garden", "Peoria Zoo", "Par-A-Dice Hotel and Casino", "WeaverRidge Golf Club"]
where herman cain stance on the issues?	["\u00c9vocateur: The Morton Downey Jr. Movie"]	["Memphis"]
what is jimi hendrix purple haze about?	["Drug overdose"]	["Fender Stratocaster", "Gibson Flying V"]
what is berkshire hathaway invested in?	["MOODY'S CORP Common Stock", "BURLINGTON NORTHERN SANTA FE Common Stock"]	["Property and Casualty Insurance", "Fire, Marine, and Casualty Insurance", "Newspaper Publishers", "Diversified Investments"]
who killed martin luther king jr video?	["Assassination by firearm"]	["Assassination by firearm"]
what party does barack obama belong to?	["Democratic Party"]	["Democratic Party"]
where did kansas city royals come from?	["Kansas City"]	["Kauffman Stadium"]
who or what influenced albert einstein?	["Hendrik Lorentz", "Isaac Newton", "Baruch Spinoza", "George Bernard Shaw", "Hermann Minkowski", "James Clerk Maxwell", "Paul Val\u00e9ry", "Karl Pearson", "Ernst Mach", "Bernhard Riemann"]	["Baruch Spinoza", "George Bernard Shaw", "Arthur Schopenhauer", "David Hume", "Fyodor Dostoyevsky", "Isaac Newton", "Mahatma Gandhi", "Paul Val\u00e9ry", "Hermann Minkowski", "Bernhard Riemann", "Thomas Young", "Moritz Schlick", "Ernst Mach", "Hendrik Lorentz", "Karl Pearson", "James Clerk Maxwell", "Riazuddin"]
which country was michael jackson born?	["United States of America"]	["Gary"]
which country does greenland belong to?	["Denmark"]	["Arctic"]
what school did mark zuckerberg attend?	["Mercy College", "Phillips Exeter Academy", "Harvard University", "Ardsley High School"]	["Harvard University", "Phillips Exeter Academy", "Ardsley High School", "Mercy College"]
who did john kennedy have affairs with?	["william averell harriman appointed by john fitzgerald kennedy"]	["Jacqueline Kennedy Onassis"]
when did pakistan get its independence?	["1947"]	["1940-03-23"]
what did president carter do in office?	["Social development", "Human rights", "Economic development"]	["Walter Mondale"]
where is olympic national park located?	["Washington"]	["Washington"]
in what country do people speak danish?	["Denmark", "Greenland"]	["English Language"]
what language do bosnian muslims speak?	["Bosnian language"]	["Bosnian language"]
what is the parliament of nepal called?	["Parliament of Nepal", "Constituent assembly", "Nepal House of Representatives", "Nepalese Constituent Assembly", "National Assembly of Nepal"]	["House of Representatives", "National Assembly"]
where did the greek alphabet come from?	["Indo-European languages"]	["Pontic Language", "Medieval Greek", "Greek Language", "Bactrian language", "Karamanli Turkish", "Urum Language", "Ancient Greek", "Crimean Gothic", "Albanian, Arvanitika Language", "Gaulish language"]
who are the st louis cardinals coaches?	["Dave McKay", "Jos\u00e9 Oquendo", "Joe Pettini", "Marty Mason", "Dave Duncan", "Hal McRae"]	["Mike Matheny"]
where does the zambezi river originate?	["Tanzania"]	["Mwinilunga"]
who is the senior senator of louisiana?	["Mary Landrieu"]	["Jean Noel Destr\u00e9han", "Russell B. Long", "Alexandre Mouton", "John Slidell", "Mary Landrieu", "Judah P. Benjamin", "Pierre Soul\u00e9", "Charles Magill Conrad", "Allan B. Magruder", "David Vitter", "Eligius Fromentin", "George A. Waggaman", "Alexander Porter", "Edward Douglass White", "Huey Long", "Edward Livingston", "William C. C. Claiborne", "Henry Johnson", "Thomas Posey", "Alexander Barrow", "Robert C. Nicholas", "James Brown", "Charles Dominique Joseph Bouligny", "Josiah S. Johnston", "Jeremiah B. Howell"]
what town did justin bieber grew up in?	["London"]	["London"]
what form of currency does germany use?	["Euro"]	["Euro"]
who does mila kunis play on family guy?	["Meg Griffin"]	["Meg Griffin"]
who did woody harrelson play on cheers?	["Woody Boyd"]	["Woody Boyd"]
what is lamar odom doing now july 2012?	["Los Angeles Clippers"]	["Los Angeles Clippers", "Los Angeles Lakers", "Dallas Mavericks"]
what new movies is robert pattinson in?	["Eclipse", "Dark Kingdom: The Dragon King", "New Moon", "Remember Me", "How to Be", "Harry Potter and the Order of the Phoenix", "Little Ashes", "Bel Ami", "Twilight", "The Twilight Saga: Breaking Dawn - Part 1"]	["The Rover", "Queen of the Desert", "Harry Potter and the Order of the Phoenix", "Eclipse", "Cosmopolis", "New Moon", "Dark Kingdom: The Dragon King", "Mission: Blacklist", "Harry Potter and the Goblet of Fire", "Twilight", "Little Ashes", "Bel Ami", "Vanity Fair", "Water for Elephants", "Remember Me", "The Twilight Saga: Breaking Dawn - Part 1", "The Twilight Saga: Breaking Dawn - Part 2", "Love & Distrust", "The Bad Mother's Handbook", "Unbound Captives", "The Summer House", "How to Be", "The Haunted Airman", "Maps to the Stars", "Hold on to Me"]
who did brett gardner play for in 2008?	["New York Yankees"]	["New York Yankees"]
where does freddie ljungberg come from?	["Sweden"]	["Sweden"]
who does michael oher play for in 2010?	["Baltimore Ravens"]	["Baltimore Ravens"]
what school did robert f kennedy go to?	["Bates College", "Milton Academy", "University of Virginia School of Law", "University of Virginia", "Harvard University", "Harvard College"]	["Harvard College", "Harvard University", "University of Virginia", "Milton Academy", "University of Virginia School of Law", "Bates College"]
what kind of government is south korea?	["Sovereign state"]	["Presidential system", "Unitary state", "Constitutional republic"]
what did baron de montesquie influence?	["charles-louis de secondat montesquieu influenced edward gibbon"]	["Ren\u00e9 Descartes", "Aristotle", "Cicero", "Nicolas Malebranche", "Adam Smith", "John Locke", "Jean Bodin", "Thomas Hobbes"]
who did terrell owens play for in 2010?	["Cincinnati Bengals"]	["Dallas Cowboys"]
what movies did morgan freeman star in?	["10 Items or Less", "Batman Begins", "All About Us", "A Raisin in the Sun", "Bruce Almighty", "Amistad", "Brubaker", "An Unfinished Life", "A Man Called Adam", "Along Came a Spider"]	["The Civil War", "Robin Hood: Prince of Thieves", "War of the Worlds", "Along Came a Spider", "Nurse Betty", "Red", "Olympus Has Fallen", "Clinton and Nadine", "Clean and Sober", "Fight for Life", "Soul Brothas and Sistas: Vol. 4: Quadruple Feature", "We the People", "National Geographic: Inside the White House", "Hard Rain", "Invictus", "Seven", "Magnificent Desolation: Walking on the Moon 3D", "Bruce Almighty", "Levity", "An Unfinished Life", "The Sum of All Fears", "Batman Begins", "The Love Guru", "Guilty by Association", "Moll Flanders", "The Shawshank Redemption", "The Execution of Raymond Graham", "The Dark Knight Rises", "Lucky Number Slevin", "The Dark Knight", "Street Smart", "Evan Almighty", "The Bucket List", "Harry & Son", "Chain Reaction", "The Bonfire of the Vanities", "Resting Place", "A Man Called Adam", "Roll Of Thunder, Hear My Cry", "Amistad", "The Big Bounce", "Million Dollar Baby", "Gone Baby Gone", "Glory", "High Crimes", "Unforgiven", "Conan the Barbarian", "Oblivion", "Driving Miss Daisy", "Kiss the Girls", "For Love of Liberty: The Story of America's Black Patriots", "Dolphin Tale", "Thick as Thieves", "Lean on Me", "Dreamcatcher", "The Contract", "Deep Impact", "Wanted", "Feast of Love", "Now You See Me", "March of the Penguins", "The Long Way Home", "The Maiden Heist", "Johnny Handsome", "The Pawnbroker", "Unleashed", "10 Items or Less", "Outbreak", "Brubaker", "Where Were You When the Lights Went Out?", "The Hunting of the President", "Edison", "That Was Then... This Is Now", "Marie", "Under Suspicion", "Lego: The Piece of Resistance", "The Power of One", "Cosmic Voyage", "The Dark Knight: Bonus Material", "Wish Wizard", "America Beyond the Color Line", "All About Us", "A Raisin in the Sun", "The Magic of Belle Isle", "Teachers", "Heart Stopper", "Attica", "Eyewitness", "The Art of Romare Bearden", "Death of a Prophet", "m.0h0_gsx", "m.0h0zs8c"]
